authority,version,code,name,datum,csType,longitudeDirection
IAU,2015,89900,Neptune (2015) / Ographic,IAU:2015:89900,ellipsoidal,west
IAU,2015,89901,Neptune (2015) / Ocentric,IAU:2015:89900,spherical,east
IAU,2015,90100,Charon (2015) / Ographic,IAU:2015:90100,ellipsoidal,west
IAU,2015,90101,Charon (2015) / Ocentric,IAU:2015:90100,spherical,east
IAU,2015,99900,Pluto (2015) / Ographic,IAU:2015:99900,ellipsoidal,west
IAU,2015,99901,Pluto (2015) / Ocentric,IAU:2015:99900,spherical,east
IAU,2015,100001200,Churyumov-Gerasimenko (2015) / Ographic,IAU:2015:100001200,ellipsoidal,west
IAU,2015,100001201,Churyumov-Gerasimenko (2015) / Ocentric,IAU:2015:100001200,spherical,east
IAU,2015,100003601,Halley (2015) / Ocentric,IAU:2015:100003600,spherical,east
IAU,2015,100004101,Hartley 2 (2015) / Ocentric,IAU:2015:100004100,spherical,east
IAU,2015,100010701,Wild 2 (2015) / Ocentric,IAU:2015:100010700,spherical,east
IAU,2015,200000100,Ceres (2015) / Ographic,IAU:2015:200000100,ellipsoidal,west
IAU,2015,200000101,Ceres (2015) / Ocentric,IAU:2015:200000100,spherical,east
IAU,2015,200000400,Vesta (2015) / Ographic,IAU:2015:200000400,ellipsoidal,west
IAU,2015,200000401,Vesta (2015) / Ocentric,IAU:2015:200000400,spherical,east
IAU,2015,200001601,Psyche (2015) / Ocentric,IAU:2015:200001600,spherical,east
IAU,2015,200002100,Lutetia (2015) / Ographic,IAU:2015:200002100,ellipsoidal,west
IAU,2015,200002101,Lutetia (2015) / Ocentric,IAU:2015:200002100,spherical,east
IAU,2015,200005200,52 Europa (2015) / Ographic,IAU:2015:200005200,ellipsoidal,west
IAU,2015,200005201,52 Europa (2015) / Ocentric,IAU:2015:200005200,spherical,east
IAU,2015,200021601,Kleopatra (2015) / Ocentric,IAU:2015:200021600,spherical,east
IAU,2015,200025301,Mathilde (2015) / Ocentric,IAU:2015:200025300,spherical,east
IAU,2015,200043300,Eros (2015) / Ographic,IAU:2015:200043300,ellipsoidal,west
IAU,2015,200043301,Eros (2015) / Ocentric,IAU:2015:200043300,spherical,east
IAU,2015,200051100,Davida (2015) / Ographic,IAU:2015:200051100,ellipsoidal,west
IAU,2015,200051101,Davida (2015) / Ocentric,IAU:2015:200051100,spherical,east
IAU,2015,200286700,Steins (2015) / Ographic,IAU:2015:200286700,ellipsoidal,west
IAU,2015,200286701,Steins (2015) / Ocentric,IAU:2015:200286700,spherical,east
IAU,2015,200417901,Toutatis (2015) / Ocentric,IAU:2015:200417900,spherical,east
IAU,2015,202514300,Itokawa (2015) / Ographic,IAU:2015:202514300,ellipsoidal,west
IAU,2015,202514301,Itokawa (2015) / Ocentric,IAU:2015:202514300,spherical,east
IAU,2015,243101000,Ida (2015) / Ographic,IAU:2015:243101000,ellipsoidal,west
IAU,2015,243101001,Ida (2015) / Ocentric,IAU:2015:243101000,spherical,east
IAU,2015,951101000,Gaspra (2015) / Ographic,IAU:2015:951101000,ellipsoidal,west
IAU,2015,951101001,Gaspra (2015) / Ocentric,IAU:2015:951101000,spherical,east
